
[Name]
Default Boundary

[Data]
Node Number, X [ m ], Y [ m ], Z [ m ], Connectivity Number, Von Mises Stress [ Pa ]
53, -4.12152521e-003, 3.36868949e-002, -3.15652997e-003, 1.00000000e+001, 1.08560080e+008
54, -3.27259395e-003, 3.36834341e-002, 2.60128011e-003, 1.00000000e+001, 1.01574704e+008
55, -4.60091420e-003, 2.30768695e-002, 9.99888778e-003, 9.00000000e+000, 1.37412224e+008
56, -4.86544240e-003, 1.97663326e-002, 9.99846216e-003, 1.00000000e+001, 1.51346608e+008
57, -2.97944387e-003, 2.99151801e-002, -9.99983680e-003, 1.40000000e+001, 1.43701792e+008
58, -3.03831766e-003, 3.36822718e-002, 7.96476286e-003, 1.00000000e+001, 1.08293752e+008
59, -2.88344990e-003, 3.36816832e-002, -7.50013441e-003, 1.50000000e+001, 1.05955608e+008
60, -1.25423726e-003, 2.59587988e-002, -9.99977253e-003, 1.60000000e+001, 1.56862016e+008
61, -3.04936548e-003, 2.65776664e-002, 9.99952853e-003, 1.00000000e+001, 1.43473856e+008
62, -3.88336251e-003, 3.36853899e-002, -1.00003220e-002, 3.00000000e+000, 1.09167184e+008
63, -3.88334924e-003, 3.36854011e-002, 1.00003481e-002, 2.00000000e+000, 1.12969760e+008
64, -3.02817021e-003, 2.17002034e-002, -9.99915879e-003, 7.00000000e+000, 1.47393056e+008
65, -1.95149577e-003, 2.39076912e-002, 9.99957137e-003, 1.00000000e+001, 1.48590544e+008
66, -1.88369572e-003, 3.36775929e-002, 1.00002019e-002, 6.00000000e+000, 1.04763016e+008
67, -1.38096255e-003, 3.36758569e-002, 5.17113972e-003, 1.00000000e+001, 9.73598880e+007
68, -9.75462259e-004, 3.36742885e-002, -3.22622596e-004, 7.00000000e+000, 9.12701440e+007
69, -1.88370724e-003, 3.36775854e-002, -1.00001879e-002, 6.00000000e+000, 1.03348160e+008
70, -5.85800793e-004, 3.03385742e-002, 9.99998488e-003, 1.10000000e+001, 1.55297776e+008
71, -9.78612225e-004, 3.36742923e-002, -3.46477586e-003, 7.00000000e+000, 9.45553760e+007
72, 1.11628836e-003, 3.36661302e-002, 7.49995233e-003, 1.60000000e+001, 9.82839440e+007
73, 2.46102078e-004, 3.36694904e-002, 2.79023126e-003, 7.00000000e+000, 9.46466240e+007
74, 2.66715069e-004, 3.36694196e-002, -6.40073931e-003, 1.30000000e+001, 9.62944880e+007
75, 9.42108672e-005, 2.10506935e-002, -1.00000054e-002, 8.00000000e+000, 1.50692256e+008
76, 7.86647259e-004, 3.03334408e-002, -1.00000156e-002, 1.30000000e+001, 1.54587728e+008
77, 1.41245010e-003, 2.59491149e-002, 1.00002233e-002, 1.20000000e+001, 1.56134640e+008
78, 1.67998846e-003, 3.36638540e-002, -2.82697799e-003, 1.40000000e+001, 9.99395920e+007
79, 1.16181123e-004, 3.36699896e-002, 1.00000147e-002, 2.00000000e+000, 1.00981648e+008
80, 1.16163857e-004, 3.36699933e-002, -9.99999046e-003, 2.00000000e+000, 1.00362576e+008
81, 2.09039357e-003, 2.38934588e-002, -1.00004226e-002, 1.20000000e+001, 1.46579008e+008
82, 3.11699533e-003, 3.36581171e-002, 1.75000716e-003, 1.50000000e+001, 1.01614312e+008
83, 2.55451445e-003, 3.36604044e-002, 4.70641674e-003, 8.00000000e+000, 1.00573144e+008
84, 2.11630855e-003, 3.36624198e-002, 9.99981072e-003, 3.00000000e+000, 1.04488760e+008
85, 2.11628294e-003, 3.36623900e-002, -9.99980047e-003, 4.00000000e+000, 1.03492672e+008
86, 3.21351457e-003, 2.65545882e-002, -1.00004738e-002, 1.00000000e+001, 1.41861152e+008
87, 3.17609939e-003, 2.98919473e-002, 1.00001711e-002, 1.20000000e+001, 1.43571392e+008
88, 3.82512994e-003, 3.36553976e-002, -6.50285883e-003, 1.50000000e+001, 1.06530944e+008
89, 4.11664834e-003, 3.36545780e-002, 9.99968406e-003, 6.00000000e+000, 1.10094968e+008
90, 5.26631577e-003, 3.01427543e-002, -1.00002848e-002, 1.50000000e+001, 1.17884608e+008
91, 6.72241254e-003, 2.73728166e-002, 1.00009572e-002, 1.50000000e+001, 9.81037760e+007
92, 4.82572010e-003, 3.36511023e-002, -2.02082843e-003, 1.00000000e+001, 1.11695952e+008
93, 6.06668321e-003, 3.36461402e-002, 7.46535510e-003, 1.20000000e+001, 1.21978816e+008
94, 4.11663344e-003, 3.36545818e-002, -9.99967381e-003, 2.00000000e+000, 1.10451504e+008
95, 4.73240437e-003, 2.30439957e-002, -1.00011164e-002, 5.00000000e+000, 1.38063072e+008
96, 6.61786087e-003, 3.36434506e-002, 3.75002273e-003, 9.00000000e+000, 1.22098848e+008
97, 4.96788928e-003, 1.97345354e-002, -1.00015467e-002, 1.00000000e+001, 1.52605040e+008
98, 6.08498743e-003, 3.36457267e-002, 8.65719456e-004, 7.00000000e+000, 1.15303112e+008
99, 6.39473973e-003, 3.09566539e-002, 1.00002596e-002, 1.10000000e+001, 9.54444800e+007
100, 6.11717906e-003, 3.36463265e-002, -9.99966636e-003, 5.00000000e+000, 1.13983208e+008
101, 7.24605983e-003, 2.59266272e-002, -1.00012813e-002, 1.40000000e+001, 1.05365856e+008
102, 6.86786743e-003, 3.36424224e-002, -5.00000687e-003, 1.50000000e+001, 1.24320280e+008
103, 6.11720840e-003, 3.36463340e-002, 9.99965798e-003, 2.00000000e+000, 1.15759592e+008
104, 7.86838960e-003, 3.36377472e-002, -6.25008834e-004, 1.20000000e+001, 1.06355984e+008
105, 7.39492383e-003, 2.20261086e-002, -1.00019425e-002, 1.00000000e+001, 1.45490480e+008
106, 8.11787602e-003, 3.36373821e-002, 9.99982376e-003, 6.00000000e+000, 1.09049568e+008
107, 8.11784342e-003, 3.36374044e-002, -9.99979023e-003, 6.00000000e+000, 1.12544880e+008
108, 1.01187350e-002, 3.36266905e-002, 6.00021426e-003, 9.00000000e+000, 6.20211520e+007
109, 7.54513266e-003, 1.81265417e-002, -1.00026252e-002, 1.20000000e+001, 1.85399568e+008
110, 1.00964550e-002, 2.94197127e-002, -1.00011667e-002, 8.00000000e+000, 7.81166560e+007
111, 1.01188915e-002, 3.36264931e-002, 2.00010231e-003, 7.00000000e+000, 6.04399360e+007
112, 1.00964690e-002, 2.94196904e-002, 1.00011695e-002, 6.00000000e+000, 7.91901360e+007
113, 1.01069044e-002, 3.15233432e-002, -1.00007495e-002, 6.00000000e+000, 6.12783640e+007
114, 1.01185963e-002, 3.36268283e-002, 8.00021272e-003, 6.00000000e+000, 5.51887480e+007
115, 1.01069361e-002, 3.15232910e-002, 1.00007318e-002, 6.00000000e+000, 6.38131800e+007
116, 1.01186140e-002, 3.36268172e-002, -8.00020061e-003, 6.00000000e+000, 6.27126120e+007
117, 1.01188608e-002, 3.36264670e-002, -2.00009043e-003, 6.00000000e+000, 5.40625720e+007
118, 1.00578340e-002, 2.10077316e-002, -1.00028748e-002, 7.00000000e+000, 1.89136416e+008
119, 1.01188496e-002, 3.36265080e-002, 4.00017388e-003, 4.00000000e+000, 5.41966760e+007
120, 1.01187937e-002, 3.36264968e-002, -4.00016177e-003, 5.00000000e+000, 5.31684960e+007
121, 1.00670233e-002, 2.31102891e-002, -1.00024305e-002, 3.00000000e+000, 1.58635280e+008
122, 1.00687826e-002, 2.33502276e-002, -6.60319161e-003, 1.30000000e+001, 1.57113040e+008
123, 1.00618694e-002, 2.16525458e-002, -3.08886240e-003, 1.10000000e+001, 1.81714976e+008
124, 1.00538507e-002, 1.98174026e-002, -5.78812277e-003, 1.00000000e+001, 2.06792768e+008
125, 1.00807827e-002, 2.59135906e-002, -1.33358559e-003, 1.60000000e+001, 1.25123344e+008
126, 1.00870896e-002, 2.73574106e-002, -6.63724029e-003, 1.10000000e+001, 1.05532496e+008
127, 1.01014730e-002, 3.02934535e-002, 6.86291896e-004, 1.50000000e+001, 7.31930640e+007
128, 1.00835217e-002, 2.65254211e-002, 3.13200941e-003, 1.20000000e+001, 1.15427952e+008
129, 1.00993225e-002, 2.98612341e-002, -3.07808141e-003, 1.00000000e+001, 8.23802800e+007
130, 1.01043927e-002, 3.09387501e-002, -6.29148073e-003, 1.30000000e+001, 6.58244240e+007
131, 1.00863865e-002, 2.73162909e-002, 1.00015784e-002, 2.00000000e+000, 1.03971136e+008
132, 1.00802993e-002, 2.59138197e-002, 7.16800522e-003, 1.60000000e+001, 1.21435336e+008
133, 1.01187630e-002, 3.36266086e-002, -6.00020215e-003, 2.00000000e+000, 6.34820120e+007
134, 1.00765601e-002, 2.52131447e-002, -1.00019956e-002, 3.00000000e+000, 1.29164688e+008
135, 1.00863753e-002, 2.73163021e-002, -1.00015793e-002, 2.00000000e+000, 1.03256776e+008
136, 1.01004718e-002, 3.01203374e-002, 5.16718347e-003, 1.10000000e+001, 8.60644080e+007
137, 1.01189176e-002, 3.36264335e-002, 4.71144590e-009, 2.00000000e+000, 5.25245840e+007
138, 1.01183699e-002, 3.36271748e-002, -1.00001805e-002, 1.00000000e+000, 5.63262720e+007
139, 1.01183783e-002, 3.36271413e-002, 1.00002019e-002, 1.00000000e+000, 5.64706600e+007
140, 8.00000038e-003, 0.00000000e+000, -9.99999978e-003, 6.00000000e+000, 3.94160320e+008
141, 6.75000018e-003, 0.00000000e+000, -4.99999989e-003, 1.30000000e+001, 1.84108624e+008
